CODIGO_ACTIVIDAD,ANIO,MES,ENTIDAD,K100W,M000W,H000W_I000W,REMUNERACION_MEDIA,J000W,ESTATUS
43,2008,2,Tabasco,82.59060948,75.47813303,80.85633437,107.60395523,87.00461384,Cifras definitivas
43,2008,2,Tamaulipas,97.53084288,93.82043888,82.95214318,102.71588588,85.20502872,Cifras definitivas
43,2008,2,Tlaxcala,128.65065229,123.34679766,88.6377713,79.48344292,70.45235236,Cifras definitivas
43,2008,2,Veracruz de Ignacio de la Llave,93.28257367,96.42376108,93.43983452,96.32678186,90.00758557,Cifras definitivas
43,2008,2,Yucatán,85.95615007,89.95815472,91.53889026,102.43214299,93.76524696,Cifras definitivas
43,2008,2,Zacatecas,86.01119409,89.24060635,87.11570762,98.26241628,85.60199927,Cifras definitivas
43,2008,3,Aguascalientes,68.47861452,78.64196213,96.02065604,92.46213862,88.78275209,Cifras definitivas
43,2008,3,Baja California,105.4953123,103.56415593,83.96129376,98.24806006,82.49034232,Cifras definitivas
43,2008,3,Baja California Sur,96.84859787,97.62797866,82.71300219,114.53055233,94.73165826,Cifras definitivas
43,2008,3,Campeche,87.62817534,88.01119048,95.29926257,66.53417307,63.40657629,Cifras definitivas
43,2008,3,Coahuila de Zaragoza,114.69230105,96.45928387,93.39797033,94.89788437,88.63269789,Cifras definitivas
43,2008,3,Colima,85.50882109,96.3676475,76.07920951,103.13772123,78.46636302,Cifras definitivas
43,2008,3,Chiapas,86.83606367,84.39169634,77.74527883,90.00906696,69.97780008,Cifras definitivas
43,2008,3,Chihuahua,98.79270758,92.17536422,85.51051707,97.12275116,83.05016671,Cifras definitivas
43,2008,3,Ciudad de México,85.12972446,87.29921006,77.75660988,97.26000569,75.62608319,Cifras definitivas
43,2008,3,Durango,105.08268633,89.31131987,91.91083846,93.56974849,86.00074038,Cifras definitivas
43,2008,3,Guanajuato,82.918102,86.70427137,79.45652582,101.61325696,80.73836375,Cifras definitivas
43,2008,3,Guerrero,103.59035283,99.58485326,95.3338655,84.45616079,80.51532273,Cifras definitivas
43,2008,3,Hidalgo,91.30483838,103.10182799,91.06184621,101.37606024,92.31491207,Cifras definitivas
43,2008,3,Jalisco,81.74262968,83.83483411,80.54950873,99.27485836,79.9654107,Cifras definitivas
43,2008,3,México,75.83080185,76.97221703,79.63071356,100.6280268,80.13081578,Cifras definitivas
43,2008,3,Michoacán de Ocampo,91.41330393,96.9927555,87.18438437,100.61827212,87.72342111,Cifras definitivas
43,2008,3,Morelos,95.4674744,94.56509115,95.97211263,87.14925109,83.63897741,Cifras definitivas
43,2008,3,Nayarit,105.12442519,100.30447149,90.03822638,91.42540544,82.31781352,Cifras definitivas
43,2008,3,Nuevo León,90.64291158,90.65139373,87.5252395,95.57142847,83.64912166,Cifras definitivas
43,2008,3,Oaxaca,91.30168954,104.42803455,88.78069882,91.21791794,80.983905,Cifras definitivas
43,2008,3,Puebla,87.60154683,85.04963083,67.05400797,95.11070078,63.77553688,Cifras definitivas
43,2008,3,Querétaro de Arteaga,69.01180821,68.27209147,74.58258935,80.13890295,59.7696689,Cifras definitivas
43,2008,3,Quintana Roo,114.82821476,113.1470556,92.98629575,92.88008406,86.36574966,Cifras definitivas
43,2008,3,San Luis Potosí,86.87379326,80.60350167,88.24689841,89.67451362,79.13497693,Cifras definitivas
43,2008,3,Sinaloa,78.30786245,78.87299825,82.62013716,94.17503775,77.80754536,Cifras definitivas
43,2008,3,Sonora,92.15376434,88.16834667,78.61369718,97.46546585,76.62120618,Cifras definitivas
43,2008,3,Tabasco,87.94295232,80.71925892,85.80707492,103.56364694,88.86493612,Cifras definitivas
43,2008,3,Tamaulipas,101.67208784,93.58454012,83.52797851,102.25933521,85.41515554,Cifras definitivas
43,2008,3,Tlaxcala,116.03462685,117.75859737,89.34463569,78.85459694,70.45235236,Cifras definitivas
43,2008,3,Veracruz de Ignacio de la Llave,98.72026826,103.86209005,93.93722145,95.99395926,90.17405809,Cifras definitivas
43,2008,3,Yucatán,81.06254944,87.91403451,92.89238996,100.93964317,93.76524696,Cifras definitivas
43,2008,3,Zacatecas,82.34186747,88.79004685,87.01487856,98.3762785,85.60199927,Cifras definitivas
43,2008,4,Aguascalientes,83.42462584,84.60884459,96.4234808,93.18619318,89.85337109,Cifras definitivas
43,2008,4,Baja California,113.50208967,111.38400546,84.40591068,97.96680722,82.6897758,Cifras definitivas
43,2008,4,Baja California Sur,103.92770153,104.95266803,84.17319639,112.54373402,94.73165826,Cifras definitivas
43,2008,4,Campeche,95.91117161,91.64573223,96.22666221,65.89293948,63.40657629,Cifras definitivas
43,2008,4,Coahuila de Zaragoza,125.34885976,108.29181612,94.32963637,94.30255257,88.95525493,Cifras definitivas
43,2008,4,Colima,94.61941257,104.30010483,76.54277854,102.51308421,78.46636302,Cifras definitivas
43,2008,4,Chiapas,88.05324149,87.6012208,78.1270417,89.22081318,69.70558192,Cifras definitivas
43,2008,4,Chihuahua,111.43001149,101.42938703,85.66342894,96.94938405,83.05016671,Cifras definitivas
43,2008,4,Ciudad de México,98.50000314,98.24119202,78.04063674,97.16094741,75.82502202,Cifras definitivas
43,2008,4,Durango,117.00291066,104.04434935,92.49805001,93.25367244,86.25782857,Cifras definitivas
43,2008,4,Guanajuato,93.79858497,91.81372638,79.65648069,101.48771003,80.84153814,Cifras definitivas
43,2008,4,Guerrero,111.58624016,105.7116805,95.74478154,84.09369308,80.51532273,Cifras definitivas
43,2008,4,Hidalgo,101.93614087,114.7711993,91.06796645,101.36924724,92.31491207,Cifras definitivas
43,2008,4,Jalisco,95.51850982,94.27438065,81.09317303,98.7763107,80.10084455,Cifras definitivas
43,2008,4,México,84.35150701,89.4061968,80.0638863,100.04529387,80.10015033,Cifras definitivas
43,2008,4,Michoacán de Ocampo,101.37362099,105.14305557,87.07111137,100.74916896,87.72342111,Cifras definitivas
43,2008,4,Morelos,103.75834964,105.12922736,97.32651166,86.35933646,84.05052967,Cifras definitivas
43,2008,4,Nayarit,119.94374372,106.84547082,90.7448168,90.71351557,82.31781352,Cifras definitivas
43,2008,4,Nuevo León,102.15980675,101.41257886,88.44634375,94.70083964,83.75943016,Cifras definitivas
43,2008,4,Oaxaca,104.58047006,115.84345034,88.06598168,91.95821526,80.983905,Cifras definitivas
43,2008,4,Puebla,100.07554455,92.27604602,67.21529218,95.09018268,63.91514412,Cifras definitivas
43,2008,4,Querétaro de Arteaga,82.11965027,84.37528705,74.87429371,79.82668809,59.7696689,Cifras definitivas
43,2008,4,Quintana Roo,128.39939224,113.67410163,93.91685475,91.95979773,86.36574966,Cifras definitivas
43,2008,4,San Luis Potosí,97.85262741,92.1982155,88.93635341,88.97933623,79.13497693,Cifras definitivas
43,2008,4,Sinaloa,82.16330034,86.19589885,83.41095376,93.75293954,78.20022105,Cifras definitivas
43,2008,4,Sonora,97.29292087,94.26136522,79.40540227,97.53934906,77.45151249,Cifras definitivas
43,2008,4,Tabasco,92.85823587,84.48087745,86.64631554,102.56054809,88.86493612,Cifras definitivas
43,2008,4,Tamaulipas,113.81496793,104.50601287,84.241857,101.11020467,85.17711403,Cifras definitivas
43,2008,4,Tlaxcala,117.52320913,115.20858294,90.30622875,78.01494242,70.45235236,Cifras definitivas
43,2008,4,Veracruz de Ignacio de la Llave,113.73768873,114.16099473,94.19668535,95.7029153,90.148974,Cifras definitivas
43,2008,4,Yucatán,101.8068825,95.69963008,93.29779172,100.82831537,94.07059167,Cifras definitivas
43,2008,4,Zacatecas,95.87462883,100.09776792,87.5742919,97.74786346,85.60199927,Cifras definitivas
43,2008,5,Aguascalientes,78.40927396,88.44554785,96.41229416,93.1970055,89.85337109,Cifras definitivas
43,2008,5,Baja California,115.76241838,108.97636612,84.33944497,98.20057994,82.82182408,Cifras definitivas
43,2008,5,Baja California Sur,94.97867405,100.06669693,82.65483588,115.5689037,95.52328768,Cifras definitivas
43,2008,5,Campeche,97.95736609,97.62528134,95.79932659,66.58689779,63.78979968,Cifras definitivas
43,2008,5,Coahuila de Zaragoza,124.92332458,106.18704098,94.34580526,94.2863911,88.95525493,Cifras definitivas
43,2008,5,Colima,97.40743747,102.66258922,77.28913532,101.52314772,78.46636302,Cifras definitivas
43,2008,5,Chiapas,97.50848507,88.681232,78.4781953,89.38303408,70.14619205,Cifras definitivas
43,2008,5,Chihuahua,107.43430238,100.6119649,86.39164837,96.42577822,83.30381926,Cifras definitivas
43,2008,5,Ciudad de México,99.77484137,99.02760536,78.9216029,96.10827561,75.85019163,Cifras definitivas
43,2008,5,Durango,117.91635577,107.33170137,92.27938789,93.47464319,86.25782857,Cifras definitivas
43,2008,5,Guanajuato,95.29210644,94.46283229,80.38153832,101.24454252,81.38192074,Cifras definitivas
43,2008,5,Guerrero,111.62482365,106.63915562,96.77645815,84.62677915,81.89879951,Cifras definitivas
43,2008,5,Hidalgo,102.91550331,114.3706398,92.63940924,99.84345333,92.49438533,Cifras definitivas
43,2008,5,Jalisco,94.74983435,93.2279939,82.49692922,97.28466223,80.25685894,Cifras definitivas
43,2008,5,México,81.74049534,84.59462751,82.81763801,97.81742551,81.01008137,Cifras definitivas
43,2008,5,Michoacán de Ocampo,98.60774094,104.99391747,88.04693878,99.70481989,87.78704173,Cifras definitivas
43,2008,5,Morelos,101.39162767,102.13756146,98.00965002,85.75740211,84.05052967,Cifras definitivas
43,2008,5,Nayarit,120.35710978,108.61089352,90.87255627,89.67175683,81.48701768,Cifras definitivas
43,2008,5,Nuevo León,98.71446959,99.68275353,91.17058188,91.66679005,83.57314588,Cifras definitivas
43,2008,5,Oaxaca,103.7393616,116.6022261,88.50937684,91.49754285,80.983905,Cifras definitivas
43,2008,5,Puebla,100.17469594,93.18525916,67.97938863,93.95196532,63.86797163,Cifras definitivas
43,2008,5,Querétaro de Arteaga,75.43322387,83.04921795,75.53596322,79.3420847,59.93180792,Cifras definitivas
43,2008,5,Quintana Roo,124.40821587,110.61306419,94.18751127,92.65219385,87.26679552,Cifras definitivas
43,2008,5,San Luis Potosí,102.60487801,90.81615903,88.75985443,89.44841747,79.39428514,Cifras definitivas
43,2008,5,Sinaloa,80.54786461,81.8844954,83.67189411,93.4605603,78.20022105,Cifras definitivas
43,2008,5,Sonora,105.56256875,93.79378595,82.02693571,94.02208509,77.12343529,Cifras definitivas
43,2008,5,Tabasco,95.88109351,85.01677493,85.69408513,103.70019819,88.86493612,Cifras definitivas
43,2008,5,Tamaulipas,110.73448163,102.30132837,86.08141844,99.73261768,85.85125195,Cifras definitivas
43,2008,5,Tlaxcala,137.61996692,131.62243143,91.22881429,77.22598711,70.45235236,Cifras definitivas
43,2008,5,Veracruz de Ignacio de la Llave,113.13940391,111.44577461,94.94477008,94.65467611,89.8696646,Cifras definitivas
43,2008,5,Yucatán,100.02978266,93.05332305,93.06837687,100.35293693,93.39684954,Cifras definitivas
43,2008,5,Zacatecas,93.57378599,97.65878943,87.54752962,97.77774386,85.60199927,Cifras definitivas
43,2008,6,Aguascalientes,79.0765092,86.14969113,95.95690845,93.63929345,89.85337109,Cifras definitivas
43,2008,6,Baja California,113.64872165,109.86926105,85.08708471,97.33771507,82.82182408,Cifras definitivas
43,2008,6,Baja California Sur,96.64578636,99.33050204,83.30247411,114.67040889,95.52328768,Cifras definitivas
43,2008,6,Campeche,99.83717473,90.14266461,98.53983734,66.79135147,65.8160891,Cifras definitivas
43,2008,6,Coahuila de Zaragoza,124.29030611,108.89515088,95.44945436,93.37308329,89.12409852,Cifras definitivas
43,2008,6,Colima,94.79578722,104.65478663,77.82063844,100.82976006,78.46636302,Cifras definitivas
43,2008,6,Chiapas,92.53917128,86.6648086,78.52366987,89.14304037,69.99838673,Cifras definitivas
43,2008,6,Chihuahua,108.87647845,99.25052875,86.17292426,96.67052613,83.30381926,Cifras definitivas
43,2008,6,Ciudad de México,100.33127129,96.61615361,79.46793119,94.95102763,75.4556173,Cifras definitivas
43,2008,6,Durango,109.22306652,108.39324585,93.09658044,93.4652655,87.01296608,Cifras definitivas
43,2008,6,Guanajuato,92.3709554,92.22317403,80.24775653,101.41332825,81.38192074,Cifras definitivas
43,2008,6,Guerrero,108.81752563,104.07348013,96.27623879,85.12339448,81.95360254,Cifras definitivas
43,2008,6,Hidalgo,102.80861719,111.20142803,92.76012913,99.71351506,92.49438533,Cifras definitivas
43,2008,6,Jalisco,99.38484388,94.94721561,83.14130196,96.42743608,80.1710258,Cifras definitivas
43,2008,6,México,81.04798236,84.3899695,82.70435641,98.14095771,81.16684745,Cifras definitivas
43,2008,6,Michoacán de Ocampo,98.0420994,101.89003587,88.44564474,99.12003059,87.66735012,Cifras definitivas
43,2008,6,Morelos,98.62401466,99.11624367,98.01513163,85.75260602,84.05052967,Cifras definitivas
43,2008,6,Nayarit,117.68355873,107.94754424,91.31004841,89.2421142,81.48701768,Cifras definitivas
43,2008,6,Nuevo León,99.79783552,100.98469099,90.69289087,92.14961071,83.57314588,Cifras definitivas
43,2008,6,Oaxaca,99.91804489,106.53663696,88.30423261,91.71010563,80.983905,Cifras definitivas
43,2008,6,Puebla,100.22294131,92.35903062,68.72245349,93.46888305,64.23410968,Cifras definitivas
43,2008,6,Querétaro de Arteaga,80.54487443,84.98003212,75.27693002,79.968878,60.19811633,Cifras definitivas
43,2008,6,Quintana Roo,128.73239563,114.32400025,96.44988772,90.47889799,87.26679552,Cifras definitivas
43,2008,6,San Luis Potosí,98.62911737,96.77446118,89.50726836,90.00640303,80.5622727,Cifras definitivas
43,2008,6,Sinaloa,83.51454887,83.27285864,83.91052155,93.19477415,78.20022105,Cifras definitivas
43,2008,6,Sonora,106.93973848,94.03262594,82.1781996,94.36501329,77.54746897,Cifras definitivas
43,2008,6,Tabasco,95.5873501,85.05958229,85.9112061,103.43811961,88.86493612,Cifras definitivas
43,2008,6,Tamaulipas,111.74935117,100.72035063,85.91870594,99.80078082,85.7475394,Cifras definitivas
43,2008,6,Tlaxcala,132.2149842,122.17622935,90.7912692,77.59815782,70.45235236,Cifras definitivas
43,2008,6,Veracruz de Ignacio de la Llave,114.34339169,112.55694207,95.28848687,94.10854655,89.67461002,Cifras definitivas
43,2008,6,Yucatán,100.88747464,93.38078114,94.80709686,99.15664764,94.00753897,Cifras definitivas
43,2008,6,Zacatecas,97.09451409,100.22410235,88.06575824,98.06679066,86.36326278,Cifras definitivas
43,2008,7,Aguascalientes,88.38356708,88.59719989,95.18697511,94.39670815,89.85337109,Cifras definitivas
43,2008,7,Baja California,118.22132808,115.56180396,85.16208103,97.94011002,83.40783586,Cifras definitivas
43,2008,7,Baja California Sur,99.0604294,101.40698814,84.69737438,112.78187592,95.52328768,Cifras definitivas
43,2008,7,Campeche,104.60311175,94.61505062,98.6075135,66.74551133,65.8160891,Cifras definitivas
43,2008,7,Coahuila de Zaragoza,129.93779394,113.98001961,94.66994907,93.92357053,88.91739639,Cifras definitivas
43,2008,7,Colima,94.12940804,97.10005962,77.84312478,100.80063364,78.46636302,Cifras definitivas
43,2008,7,Chiapas,95.48343864,88.75586145,78.46380993,89.21104748,69.99838673,Cifras definitivas
43,2008,7,Chihuahua,104.82448917,101.19554879,86.40429674,96.31883203,83.22360944,Cifras definitivas
43,2008,7,Ciudad de México,95.26775453,99.03268508,79.64011796,94.66045871,75.38770098,Cifras definitivas
43,2008,7,Durango,104.35627071,110.34658278,93.3203729,93.24112557,87.01296608,Cifras definitivas
43,2008,7,Guanajuato,94.04886277,93.34249318,80.35742533,101.27492314,81.38192074,Cifras definitivas
43,2008,7,Guerrero,108.02538767,106.10925764,96.38514651,84.97035329,81.89879951,Cifras definitivas
43,2008,7,Hidalgo,101.45126968,112.88587863,92.49928091,99.99470744,92.49438533,Cifras definitivas
43,2008,7,Jalisco,93.0590936,98.70759107,83.72051077,96.01822389,80.38694747,Cifras definitivas
43,2008,7,México,83.225788,88.91350245,82.94624945,97.66575572,81.01008137,Cifras definitivas
43,2008,7,Michoacán de Ocampo,95.06865218,102.90511222,87.90504174,99.72960411,87.66735012,Cifras definitivas
43,2008,7,Morelos,98.84608718,101.50439216,97.20755989,86.46501338,84.05052967,Cifras definitivas
43,2008,7,Nayarit,110.14564125,111.16491648,91.18471901,89.36477358,81.48701768,Cifras definitivas
43,2008,7,Nuevo León,100.79382895,101.89813713,91.62964617,91.21405315,83.57911416,Cifras definitivas
43,2008,7,Oaxaca,101.21643543,111.71370754,88.71685965,91.78736406,81.43086695,Cifras definitivas
43,2008,7,Puebla,98.68820556,94.29052517,68.98396354,93.20102246,64.29375935,Cifras definitivas
43,2008,7,Querétaro de Arteaga,74.61935412,82.50809679,75.27411029,79.97187359,60.19811633,Cifras definitivas
43,2008,7,Quintana Roo,118.47383427,113.42474154,96.44808115,90.84752913,87.62069862,Cifras definitivas
43,2008,7,San Luis Potosí,95.12036515,99.25979018,90.38893022,89.62747041,81.01331169,Cifras definitivas
43,2008,7,Sinaloa,84.89745395,81.78057909,83.70705888,93.42129815,78.20022105,Cifras definitivas
43,2008,7,Sonora,102.74990681,94.86396713,82.46315015,93.45703677,77.06761656,Cifras definitivas
43,2008,7,Tabasco,100.73576901,88.76990588,86.12494272,103.1814168,88.86493612,Cifras definitivas
43,2008,7,Tamaulipas,115.59713635,114.39125282,86.93490622,100.31714864,87.21061909,Cifras definitivas
43,2008,7,Tlaxcala,124.83534284,120.67466331,90.98271785,77.43487337,70.45235236,Cifras definitivas
43,2008,7,Veracruz de Ignacio de la Llave,107.64917913,115.6373053,95.34391989,94.62234995,90.21665753,Cifras definitivas
43,2008,7,Yucatán,96.70086387,95.54756438,94.69175957,99.27742329,94.00753897,Cifras definitivas
43,2008,7,Zacatecas,102.13206103,102.05974534,88.07151772,98.06037754,86.36326278,Cifras definitivas
43,2008,8,Aguascalientes,75.80267546,87.06344464,95.31902865,94.28388079,89.87047934,Cifras definitivas
43,2008,8,Baja California,109.85995303,108.35289721,84.60896321,98.73644702,83.53988413,Cifras definitivas
43,2008,8,Baja California Sur,92.68150682,96.63051116,85.17509223,112.1493211,95.52328768,Cifras definitivas
43,2008,8,Campeche,104.35299374,97.25511565,94.18915374,69.8765054,65.8160891,Cifras definitivas
43,2008,8,Coahuila de Zaragoza,119.94496941,104.00394065,95.40666506,92.78897965,88.52687103,Cifras definitivas
43,2008,8,Colima,101.47861317,101.39890068,78.15810533,100.39440272,78.46636302,Cifras definitivas
43,2008,8,Chiapas,87.16639672,86.47728572,75.29895797,92.74367123,69.83501802,Cifras definitivas
43,2008,8,Chihuahua,99.75646503,96.03348959,86.66609926,96.06830858,83.25865567,Cifras definitivas
43,2008,8,Ciudad de México,96.43043774,93.8282978,79.84466577,94.27158506,75.27083201,Cifras definitivas
43,2008,8,Durango,97.50067688,105.34459412,93.48748494,93.07445391,87.01296608,Cifras definitivas
43,2008,8,Guanajuato,90.13294745,87.87649063,80.69522465,100.84962667,81.3808328,Cifras definitivas
43,2008,8,Guerrero,103.27171052,101.01198872,97.19998678,84.09998104,81.74517045,Cifras definitivas
43,2008,8,Hidalgo,96.02764235,107.60357661,91.35088511,101.33564074,92.57100475,Cifras definitivas
43,2008,8,Jalisco,86.59944147,91.120204,83.63242255,96.36364486,80.59125065,Cifras definitivas
43,2008,8,México,78.29756982,82.03633127,83.15567067,97.83289322,81.35359849,Cifras definitivas
43,2008,8,Michoacán de Ocampo,92.34622144,99.98071549,87.88941133,99.7473402,87.66735012,Cifras definitivas
43,2008,8,Morelos,91.40099158,97.78458113,97.82219363,85.92173877,84.05052967,Cifras definitivas
43,2008,8,Nayarit,107.23943167,100.66431504,90.58342059,90.93637388,82.37327802,Cifras definitivas
43,2008,8,Nuevo León,92.87222571,94.89659261,91.22893815,91.7772499,83.72741055,Cifras definitivas
43,2008,8,Oaxaca,96.99189199,105.1720414,87.17862311,93.55624399,81.56104534,Cifras definitivas
43,2008,8,Puebla,96.38401864,91.70220738,67.60523168,95.10175138,64.29375935,Cifras definitivas
43,2008,8,Querétaro de Arteaga,73.43069006,78.91768758,76.03517058,79.17140959,60.19811633,Cifras definitivas
43,2008,8,Quintana Roo,114.57971498,100.78355024,95.34336295,91.15777935,86.91289242,Cifras definitivas
43,2008,8,San Luis Potosí,87.1809375,94.42721606,89.50243855,90.6984516,81.17732591,Cifras definitivas
43,2008,8,Sinaloa,81.05757257,84.66761201,84.05192978,93.29913329,78.419722,Cifras definitivas
43,2008,8,Sonora,99.02356975,90.95514549,82.08046662,93.89276125,77.06761656,Cifras definitivas
43,2008,8,Tabasco,94.69863488,84.73999685,85.23003628,104.26481086,88.86493612,Cifras definitivas
43,2008,8,Tamaulipas,104.29173661,100.55197525,87.84124302,99.7601206,87.63052997,Cifras definitivas
43,2008,8,Tlaxcala,108.14022362,106.10220538,88.7739371,79.36152734,70.45235236,Cifras definitivas
43,2008,8,Veracruz de Ignacio de la Llave,104.12125679,104.23609941,92.90351361,96.80230506,89.93274266,Cifras definitivas
43,2008,8,Yucatán,92.12408382,91.51221978,92.27612579,101.87633926,94.00753897,Cifras definitivas
43,2008,8,Zacatecas,94.63348587,97.17636102,88.58116031,95.4643148,84.56339773,Cifras definitivas
43,2008,9,Aguascalientes,89.75332292,87.95819715,95.24694432,94.35523626,89.87047934,Cifras definitivas
43,2008,9,Baja California,108.43301682,103.97292931,86.05149752,97.33586514,83.75896958,Cifras definitivas
43,2008,9,Baja California Sur,88.87393601,92.49487383,84.71883183,113.01439856,95.74447826,Cifras definitivas
43,2008,9,Campeche,93.301294,86.85381436,93.10768024,70.68814187,65.8160891,Cifras definitivas
